,,close,date,high,low,market_cap,open,volume
Historical data for Bitcoin,0,8058.67,2018-04-16,8371.15,7925.73,141571000000,8337.57,5631310000
Historical data for Bitcoin,1,8329.11,2018-04-15,8338.42,7999.33,135812000000,7999.33,5244480000
Historical data for Bitcoin,2,7986.24,2018-04-14,8140.71,7846.0,133682000000,7874.67,5191430000
Historical data for Bitcoin,3,7895.96,2018-04-13,8183.96,7758.93,134114000000,7901.09,7764460000
Historical data for Bitcoin,4,7889.25,2018-04-12,7899.23,6806.51,118048000000,6955.38,8906250000
Historical data for Bitcoin,5,6968.32,2018-04-11,6968.32,6817.59,116126000000,6843.47,4641890000
Historical data for Bitcoin,6,6834.76,2018-04-10,6872.41,6704.15,115306000000,6795.44,4272750000
Historical data for Bitcoin,7,6770.73,2018-04-09,7178.11,6661.99,119516000000,7044.32,4894060000
Historical data for Bitcoin,8,7023.52,2018-04-08,7111.56,6919.98,117392000000,6919.98,3652500000
Historical data for Bitcoin,9,6911.09,2018-04-07,7050.54,6630.51,112467000000,6630.51,3976610000
Historical data for Bitcoin,10,6636.32,2018-04-06,6857.49,6575.0,115601000000,6815.96,3766810000
Historical data for Bitcoin,11,6811.47,2018-04-05,6933.82,6644.8,116142000000,6848.65,5639320000
Historical data for Bitcoin,12,6853.84,2018-04-04,7469.88,6803.88,126434000000,7456.41,4936000000
Historical data for Bitcoin,13,7456.11,2018-04-03,7530.94,7072.49,120415000000,7102.26,5499700000
Historical data for Bitcoin,14,7083.8,2018-04-02,7135.47,6816.58,116037000000,6844.86,4333440000
Historical data for Bitcoin,15,6844.23,2018-04-01,7060.95,6526.87,118705000000,7003.06,4532100000
Historical data for Bitcoin,16,6973.53,2018-03-31,7207.85,6863.52,116820000000,6892.48,4553270000
Historical data for Bitcoin,17,6890.52,2018-03-30,7276.66,6683.93,121534000000,7171.45,6289510000
Historical data for Bitcoin,18,7165.7,2018-03-29,7994.33,7081.38,135205000000,7979.07,6361230000
Historical data for Bitcoin,19,7954.48,2018-03-28,8122.89,7809.17,132781000000,7836.83,4935290000
Historical data for Bitcoin,20,7833.04,2018-03-27,8232.78,7797.28,138919000000,8200.0,5378250000
Historical data for Bitcoin,21,8209.4,2018-03-26,8530.08,7921.43,143960000000,8498.47,5921040000
Historical data for Bitcoin,22,8495.78,2018-03-25,8682.01,8449.1,145882000000,8612.81,4569880000
Historical data for Bitcoin,23,8668.12,2018-03-24,8996.18,8665.7,150762000000,8901.95,5664600000
Historical data for Bitcoin,24,8879.62,2018-03-23,8879.62,8360.62,147941000000,8736.25,5954120000
Historical data for Bitcoin,25,8728.47,2018-03-22,9100.71,8564.9,151366000000,8939.44,5530390000
Historical data for Bitcoin,26,8929.28,2018-03-21,9177.37,8846.33,151316000000,8937.48,6043130000
Historical data for Bitcoin,27,8913.47,2018-03-20,9051.02,8389.89,145922000000,8619.67,6361790000
Historical data for Bitcoin,28,8630.65,2018-03-19,8675.87,8182.4,141240000000,8344.12,6729110000
Historical data for Bitcoin,29,8223.68,2018-03-18,8245.51,7397.99,133547000000,7890.52,6639190000